TimeStamp,Td,RH
timestamp,degC,%
2022-07-01 12:40:00,18.96,51.8
2022-07-01 12:45:00,19.84,50.1
2022-07-01 12:50:00,19.71,47.5
2022-07-01 12:55:00,19.58,49.5
2022-07-01 13:00:00,19.4,46.8
2022-07-01 13:05:00,19.13,46.8
2022-07-01 13:10:00,19.48,47.1
2022-07-01 13:15:00,18.78,48.2
2022-07-01 13:20:00,19.38,49.2
2022-07-01 13:25:00,20.22,47.9
2022-07-01 13:30:00,19.16,47.5
2022-07-01 13:35:00,19.58,49.3
2022-07-01 13:40:00,19.51,47.8
2022-07-01 13:45:00,19.96,44.4
2022-07-01 13:50:00,19.74,47.1
2022-07-01 13:55:00,20.04,46.5
2022-07-01 14:00:00,19.91,46.5
2022-07-01 14:05:00,20.55,44.6
2022-07-01 14:10:00,20.18,42.9
2022-07-01 14:15:00,20.11,44.3
2022-07-01 14:20:00,19.2,45.8
2022-07-01 14:25:00,18.85,47.0
2022-07-01 14:30:00,18.83,46.3
2022-07-01 14:35:00,19.2,46.7
2022-07-01 14:40:00,19.59,46.3
2022-07-01 14:45:00,19.48,46.1
2022-07-01 14:50:00,19.26,47.1
2022-07-01 14:55:00,19.06,47.6
2022-07-01 15:00:00,19.03,48.6
2022-07-01 15:05:00,19.0,47.6
2022-07-01 15:10:00,19.06,47.9
2022-07-01 15:15:00,18.82,49.4
2022-07-01 15:20:00,18.8,50.0
2022-07-01 15:25:00,19.11,50.0
2022-07-01 15:30:00,18.89,50.1
2022-07-01 15:35:00,19.08,50.1
2022-07-01 15:40:00,18.81,49.1
2022-07-01 15:45:00,18.92,48.5
2022-07-01 15:50:00,18.85,48.7
2022-07-01 15:55:00,18.89,47.8
2022-07-01 16:00:00,18.2,53.5
2022-07-01 16:05:00,17.87,56.8
2022-07-01 16:10:00,17.77,57.6
2022-07-01 16:15:00,17.45,58.7
2022-07-01 16:20:00,17.21,60.1
2022-07-01 16:25:00,16.77,62.3
2022-07-01 16:30:00,16.47,65.8
2022-07-01 16:35:00,16.13,67.1
2022-07-01 16:40:00,16.03,67.5
2022-07-01 16:45:00,16.12,67.9
2022-07-01 16:50:00,16.15,66.4
2022-07-01 16:55:00,16.35,67.1
2022-07-01 17:00:00,16.4,63.9
2022-07-01 17:05:00,16.35,62.6
2022-07-01 17:10:00,16.3,62.0
2022-07-01 17:15:00,16.34,60.7
2022-07-01 17:20:00,16.38,60.0
2022-07-01 17:25:00,16.42,60.6
2022-07-01 17:30:00,16.49,61.1
2022-07-01 17:35:00,16.55,61.2
2022-07-01 17:40:00,16.67,61.4
2022-07-01 17:45:00,16.88,62.1
2022-07-01 17:50:00,16.9,61.1
2022-07-01 17:55:00,17.07,61.5
2022-07-01 18:00:00,17.19,61.7
2022-07-01 18:05:00,17.31,61.5
2022-07-01 18:10:00,17.09,62.3
2022-07-01 18:15:00,16.94,62.6
2022-07-01 18:20:00,16.81,63.5
2022-07-01 18:25:00,16.72,64.4
2022-07-01 18:30:00,16.67,64.6
2022-07-01 18:35:00,16.71,63.7
2022-07-01 18:40:00,16.72,62.2
2022-07-01 18:45:00,16.71,61.6
2022-07-01 18:50:00,16.65,62.4
2022-07-01 18:55:00,16.64,62.1
2022-07-01 19:00:00,16.63,62.3
2022-07-01 19:05:00,16.62,61.9
2022-07-01 19:10:00,16.68,60.7
2022-07-01 19:15:00,16.9,61.0
2022-07-01 19:20:00,17.01,60.8
2022-07-01 19:25:00,16.99,59.4
2022-07-01 19:30:00,16.91,56.8
2022-07-01 19:35:00,16.84,56.9
2022-07-01 19:40:00,16.67,57.8
2022-07-01 19:45:00,16.56,58.8
2022-07-01 19:50:00,16.29,59.9
2022-07-01 19:55:00,16.09,61.0
2022-07-01 20:00:00,15.93,62.2
2022-07-01 20:05:00,15.77,63.2
2022-07-01 20:10:00,15.55,64.2
2022-07-01 20:15:00,15.44,64.9
2022-07-01 20:20:00,15.19,65.8
2022-07-01 20:25:00,15.03,66.7
2022-07-01 20:30:00,14.96,67.4
2022-07-01 20:35:00,14.8,68.1
2022-07-01 20:40:00,14.7,68.6
2022-07-01 20:45:00,14.48,69.3
2022-07-01 20:50:00,14.51,69.5
2022-07-01 20:55:00,14.36,70.2
2022-07-01 21:00:00,14.19,71.0
2022-07-01 21:05:00,14.0,71.7
2022-07-01 21:10:00,13.97,72.5
2022-07-01 21:15:00,13.84,73.0
2022-07-01 21:20:00,13.83,73.5
2022-07-01 21:25:00,13.75,74.2
2022-07-01 21:30:00,13.76,74.6
2022-07-01 21:35:00,13.79,74.8
2022-07-01 21:40:00,13.86,75.0
2022-07-01 21:45:00,13.95,74.6
2022-07-01 21:50:00,14.06,74.2
2022-07-01 21:55:00,13.99,74.1
2022-07-01 22:00:00,13.99,73.9
2022-07-01 22:05:00,13.88,74.1
2022-07-01 22:10:00,13.77,74.4
2022-07-01 22:15:00,13.68,74.8
2022-07-01 22:20:00,13.6,75.2
2022-07-01 22:25:00,13.48,75.6
2022-07-01 22:30:00,13.39,76.3
2022-07-01 22:35:00,13.16,76.9
2022-07-01 22:40:00,13.17,77.2
2022-07-01 22:45:00,13.07,77.6
2022-07-01 22:50:00,12.94,78.4
2022-07-01 22:55:00,12.85,79.1
2022-07-01 23:00:00,12.75,80.0
2022-07-01 23:05:00,12.75,80.9
2022-07-01 23:10:00,12.66,81.5
2022-07-01 23:15:00,12.59,82.1
2022-07-01 23:20:00,12.41,82.9
2022-07-01 23:25:00,12.44,83.8
2022-07-01 23:30:00,12.4,84.1
2022-07-01 23:35:00,12.32,84.6
2022-07-01 23:40:00,12.36,85.3
2022-07-01 23:45:00,12.33,85.8
2022-07-01 23:50:00,12.18,86.1
2022-07-01 23:55:00,12.19,86.7
2022-07-02 00:00:00,12.21,87.1
2022-07-02 00:05:00,12.19,87.3
2022-07-02 00:10:00,12.15,87.6
2022-07-02 00:15:00,12.12,87.9
2022-07-02 00:20:00,11.91,88.0
2022-07-02 00:25:00,11.8,88.3
2022-07-02 00:30:00,11.7,88.9
2022-07-02 00:35:00,11.59,89.3
2022-07-02 00:40:00,11.58,89.9
2022-07-02 00:45:00,11.49,90.3
2022-07-02 00:50:00,11.42,90.7
2022-07-02 00:55:00,11.41,91.1
2022-07-02 01:00:00,11.38,91.4
2022-07-02 01:05:00,11.39,91.7
2022-07-02 01:10:00,11.34,91.8
2022-07-02 01:15:00,11.44,92.1
2022-07-02 01:20:00,11.44,92.2
2022-07-02 01:25:00,11.23,92.1
2022-07-02 01:30:00,11.12,92.0
2022-07-02 01:35:00,10.99,92.0
2022-07-02 01:40:00,11.08,92.3
2022-07-02 01:45:00,11.09,92.6
2022-07-02 01:50:00,11.11,92.9
2022-07-02 01:55:00,10.85,92.8
2022-07-02 02:00:00,10.88,93.0
2022-07-02 02:05:00,10.83,93.2
2022-07-02 02:10:00,10.78,93.4
2022-07-02 02:15:00,10.85,93.6
2022-07-02 02:20:00,10.79,93.7
2022-07-02 02:25:00,10.76,93.9
2022-07-02 02:30:00,10.7,93.9
2022-07-02 02:35:00,10.67,94.0
2022-07-02 02:40:00,10.56,94.0
2022-07-02 02:45:00,10.48,94.1
2022-07-02 02:50:00,10.54,94.2
2022-07-02 02:55:00,10.61,94.5
2022-07-02 03:00:00,10.6,94.7
2022-07-02 03:05:00,10.5,94.8
2022-07-02 03:10:00,10.57,95.0
2022-07-02 03:15:00,10.62,95.1
2022-07-02 03:20:00,10.58,95.2
2022-07-02 03:25:00,10.58,95.3
2022-07-02 03:30:00,10.62,95.4
2022-07-02 03:35:00,10.55,95.4
2022-07-02 03:40:00,10.45,95.4
2022-07-02 03:45:00,10.44,95.4
2022-07-02 03:50:00,10.48,95.5
2022-07-02 03:55:00,10.55,95.6
2022-07-02 04:00:00,10.56,95.6
2022-07-02 04:05:00,10.61,95.7
2022-07-02 04:10:00,10.63,95.8
2022-07-02 04:15:00,10.69,95.9
2022-07-02 04:20:00,10.92,96.0
2022-07-02 04:25:00,10.98,96.0
2022-07-02 04:30:00,11.05,96.0
2022-07-02 04:35:00,11.1,95.9
2022-07-02 04:40:00,11.1,95.8
2022-07-02 04:45:00,11.15,95.7
2022-07-02 04:50:00,11.27,95.6
2022-07-02 04:55:00,11.38,95.4
2022-07-02 05:00:00,11.49,95.1
2022-07-02 05:05:00,11.59,94.8
2022-07-02 05:10:00,11.74,94.5
2022-07-02 05:15:00,11.86,94.2
2022-07-02 05:20:00,11.96,93.8
2022-07-02 05:25:00,12.14,93.3
2022-07-02 05:30:00,12.37,92.6
2022-07-02 05:35:00,12.69,91.3
2022-07-02 05:40:00,13.0,89.7
2022-07-02 05:45:00,13.27,88.7
2022-07-02 05:50:00,13.6,87.5
2022-07-02 05:55:00,13.78,86.0
2022-07-02 06:00:00,13.97,85.5
2022-07-02 06:05:00,13.87,84.5
2022-07-02 06:10:00,13.93,84.7
2022-07-02 06:15:00,14.07,84.8
2022-07-02 06:20:00,14.37,84.2
2022-07-02 06:25:00,14.27,82.7
2022-07-02 06:30:00,14.29,82.9
2022-07-02 06:35:00,14.29,83.1
2022-07-02 06:40:00,14.39,83.4
2022-07-02 06:45:00,14.38,82.6
2022-07-02 06:50:00,14.54,81.8
2022-07-02 06:55:00,14.75,81.5
2022-07-02 07:00:00,14.81,79.6
2022-07-02 07:05:00,14.93,79.9
2022-07-02 07:10:00,14.86,79.1
2022-07-02 07:15:00,14.9,78.8
2022-07-02 07:20:00,15.05,78.5
2022-07-02 07:25:00,15.2,77.8
2022-07-02 07:30:00,15.22,75.9
2022-07-02 07:35:00,15.43,75.7
2022-07-02 07:40:00,15.55,74.5
2022-07-02 07:45:00,16.24,73.6
2022-07-02 07:50:00,16.25,71.8
2022-07-02 07:55:00,16.78,70.7
2022-07-02 08:00:00,17.16,69.9
2022-07-02 08:05:00,17.01,67.2
2022-07-02 08:10:00,16.84,66.9
2022-07-02 08:15:00,17.33,66.3
2022-07-02 08:20:00,17.31,65.9
2022-07-02 08:25:00,17.49,65.0
2022-07-02 08:30:00,17.18,64.8
2022-07-02 08:35:00,16.95,64.8
2022-07-02 08:40:00,16.58,65.5
2022-07-02 08:45:00,16.66,66.6
2022-07-02 08:50:00,16.63,66.6
2022-07-02 08:55:00,16.58,66.3
2022-07-02 09:00:00,16.68,66.1
2022-07-02 09:05:00,16.78,66.3
2022-07-02 09:10:00,17.01,66.0
2022-07-02 09:15:00,16.88,65.1
2022-07-02 09:20:00,17.26,65.8
2022-07-02 09:25:00,17.1,64.7
2022-07-02 09:30:00,17.03,64.1
2022-07-02 09:35:00,17.08,64.5
2022-07-02 09:40:00,17.0,63.9
2022-07-02 09:45:00,17.04,63.6
2022-07-02 09:50:00,17.21,63.1
2022-07-02 09:55:00,17.17,63.5
2022-07-02 10:00:00,17.02,63.7
2022-07-02 10:05:00,16.96,64.7
2022-07-02 10:10:00,16.84,64.7
2022-07-02 10:15:00,16.73,65.1
2022-07-02 10:20:00,16.94,65.3
2022-07-02 10:25:00,16.94,63.6
2022-07-02 10:30:00,17.1,64.6
2022-07-02 10:35:00,17.32,64.2
2022-07-02 10:40:00,17.13,63.0
2022-07-02 10:45:00,17.65,62.9
2022-07-02 10:50:00,18.19,61.7
2022-07-02 10:55:00,18.64,60.8
2022-07-02 11:00:00,18.65,59.5
2022-07-02 11:05:00,18.02,58.8
2022-07-02 11:10:00,18.46,59.9
2022-07-02 11:15:00,18.28,59.4
2022-07-02 11:20:00,19.29,57.0
2022-07-02 11:25:00,19.47,55.1
2022-07-02 11:30:00,19.3,53.1
2022-07-02 11:35:00,19.01,55.9
2022-07-02 11:40:00,18.81,55.8
2022-07-02 11:45:00,18.97,56.3
2022-07-02 11:50:00,19.24,56.3
2022-07-02 11:55:00,18.97,54.1
2022-07-02 12:00:00,18.8,54.6
2022-07-02 12:05:00,18.91,53.0
2022-07-02 12:10:00,19.58,52.1
2022-07-02 12:15:00,19.92,50.7
2022-07-02 12:20:00,19.74,50.8
2022-07-02 12:25:00,19.66,50.8
2022-07-02 12:30:00,19.43,51.5
2022-07-02 12:35:00,19.21,51.8
2022-07-02 12:40:00,19.35,52.7
2022-07-02 12:45:00,19.36,51.3
2022-07-02 12:50:00,18.88,51.2
2022-07-02 12:55:00,19.26,51.2
2022-07-02 13:00:00,19.36,51.1
2022-07-02 13:05:00,19.6,53.1
2022-07-02 13:10:00,19.51,52.1
2022-07-02 13:15:00,19.23,51.7
2022-07-02 13:20:00,19.25,51.7
2022-07-02 13:25:00,19.7,51.5
2022-07-02 13:30:00,19.37,50.5
2022-07-02 13:35:00,20.11,50.4
2022-07-02 13:40:00,19.51,49.7
2022-07-02 13:45:00,19.85,49.7
2022-07-02 13:50:00,19.11,50.8
2022-07-02 13:55:00,19.35,51.8
2022-07-02 14:00:00,19.19,52.2
2022-07-02 14:05:00,19.17,52.5
2022-07-02 14:10:00,19.32,53.5
2022-07-02 14:15:00,19.44,51.8
2022-07-02 14:20:00,19.17,52.3
2022-07-02 14:25:00,19.27,52.6
2022-07-02 14:30:00,19.41,52.5
2022-07-02 14:35:00,19.66,52.4
2022-07-02 14:40:00,19.7,51.9
2022-07-02 14:45:00,19.54,52.4
2022-07-02 14:50:00,20.3,53.3
2022-07-02 14:55:00,19.74,52.1
2022-07-02 15:00:00,19.39,53.8
2022-07-02 15:05:00,18.97,55.8
2022-07-02 15:10:00,18.93,56.9
2022-07-02 15:15:00,18.76,57.6
2022-07-02 15:20:00,18.41,58.6
2022-07-02 15:25:00,18.44,59.9
2022-07-02 15:30:00,18.67,59.7
2022-07-02 15:35:00,18.7,59.5
2022-07-02 15:40:00,18.39,60.5
2022-07-02 15:45:00,18.4,61.8
2022-07-02 15:50:00,18.53,62.1
2022-07-02 15:55:00,18.48,62.4
2022-07-02 16:00:00,17.75,69.0
2022-07-02 16:05:00,17.46,71.6
2022-07-02 16:10:00,17.61,71.1
2022-07-02 16:15:00,17.71,69.0
2022-07-02 16:20:00,17.67,69.4
2022-07-02 16:25:00,17.56,69.9
2022-07-02 16:30:00,17.71,70.5
2022-07-02 16:35:00,17.72,69.7
2022-07-02 16:40:00,17.5,70.4
2022-07-02 16:45:00,17.27,72.6
2022-07-02 16:50:00,16.49,77.8
2022-07-02 16:55:00,16.27,80.1
2022-07-02 17:00:00,16.28,81.2
2022-07-02 17:05:00,16.58,80.7
2022-07-02 17:10:00,16.95,79.9
2022-07-02 17:15:00,17.04,78.3
2022-07-02 17:20:00,16.94,77.3
2022-07-02 17:25:00,16.9,77.4
2022-07-02 17:30:00,16.82,77.0
2022-07-02 17:35:00,16.69,77.8
2022-07-02 17:40:00,16.43,80.7
2022-07-02 17:45:00,16.24,83.1
2022-07-02 17:50:00,16.22,84.4
2022-07-02 17:55:00,16.26,84.8
2022-07-02 18:00:00,16.32,83.9
2022-07-02 18:05:00,16.4,82.9
2022-07-02 18:10:00,16.54,81.6
2022-07-02 18:15:00,16.51,79.8
2022-07-02 18:20:00,16.49,80.1
2022-07-02 18:25:00,16.12,79.4
2022-07-02 18:30:00,15.69,78.1
2022-07-02 18:35:00,15.42,77.9
2022-07-02 18:40:00,15.19,79.4
2022-07-02 18:45:00,15.11,80.7
2022-07-02 18:50:00,14.92,81.4
2022-07-02 18:55:00,14.67,82.3
2022-07-02 19:00:00,14.48,84.5
2022-07-02 19:05:00,14.36,86.3
2022-07-02 19:10:00,14.31,87.3
2022-07-02 19:15:00,14.28,87.6
2022-07-02 19:20:00,14.26,87.7
2022-07-02 19:25:00,14.22,88.6
2022-07-02 19:30:00,14.11,89.0
2022-07-02 19:35:00,14.07,89.6
2022-07-02 19:40:00,14.07,89.7
2022-07-02 19:45:00,14.1,89.9
2022-07-02 19:50:00,14.17,89.8
2022-07-02 19:55:00,14.22,89.6
2022-07-02 20:00:00,14.28,89.6
2022-07-02 20:05:00,14.31,89.8
2022-07-02 20:10:00,14.3,89.9
2022-07-02 20:15:00,14.3,89.8
2022-07-02 20:20:00,14.35,89.5
2022-07-02 20:25:00,14.26,89.0
2022-07-02 20:30:00,14.3,88.3
2022-07-02 20:35:00,14.3,88.0
2022-07-02 20:40:00,14.37,87.8
2022-07-02 20:45:00,14.39,87.7
2022-07-02 20:50:00,14.38,87.6
2022-07-02 20:55:00,14.36,87.3
2022-07-02 21:00:00,14.38,87.4
2022-07-02 21:05:00,14.34,87.7
2022-07-02 21:10:00,14.37,87.7
2022-07-02 21:15:00,14.4,87.7
2022-07-02 21:20:00,14.36,87.8
2022-07-02 21:25:00,14.29,87.4
2022-07-02 21:30:00,14.29,87.0
2022-07-02 21:35:00,14.19,86.5
2022-07-02 21:40:00,14.25,85.5
2022-07-02 21:45:00,14.15,85.5
2022-07-02 21:50:00,14.11,84.4
2022-07-02 21:55:00,14.08,84.4
2022-07-02 22:00:00,14.09,83.4
2022-07-02 22:05:00,14.07,83.4
2022-07-02 22:10:00,14.05,83.8
2022-07-02 22:15:00,13.98,83.8
2022-07-02 22:20:00,13.94,83.9
2022-07-02 22:25:00,13.84,83.3
2022-07-02 22:30:00,13.78,81.9
2022-07-02 22:35:00,13.7,81.8
2022-07-02 22:40:00,13.57,82.3
2022-07-02 22:45:00,13.46,83.1
2022-07-02 22:50:00,13.42,83.6
2022-07-02 22:55:00,13.4,83.9
2022-07-02 23:00:00,13.33,84.2
2022-07-02 23:05:00,13.22,85.0
2022-07-02 23:10:00,13.18,85.4
2022-07-02 23:15:00,13.16,85.6
2022-07-02 23:20:00,13.11,85.7
2022-07-02 23:25:00,13.0,85.8
2022-07-02 23:30:00,12.83,86.0
2022-07-02 23:35:00,12.67,86.4
2022-07-02 23:40:00,12.6,87.0
2022-07-02 23:45:00,12.39,87.1
2022-07-02 23:50:00,12.18,87.6
2022-07-02 23:55:00,12.04,88.2
2022-07-03 00:00:00,11.86,88.7
2022-07-03 00:05:00,11.75,89.2
2022-07-03 00:10:00,11.55,89.8
2022-07-03 00:15:00,11.48,90.4
2022-07-03 00:20:00,11.28,90.7
2022-07-03 00:25:00,11.28,91.1
2022-07-03 00:30:00,11.27,91.4
2022-07-03 00:35:00,11.2,91.8
2022-07-03 00:40:00,11.05,92.0
2022-07-03 00:45:00,10.79,91.9
2022-07-03 00:50:00,10.63,92.0
2022-07-03 00:55:00,10.81,92.5
2022-07-03 01:00:00,10.83,93.0
2022-07-03 01:05:00,10.48,93.0
2022-07-03 01:10:00,10.03,93.0
2022-07-03 01:15:00,10.21,93.2
2022-07-03 01:20:00,10.02,93.4
2022-07-03 01:25:00,10.35,93.8
2022-07-03 01:30:00,10.21,94.2
2022-07-03 01:35:00,10.05,94.3
2022-07-03 01:40:00,10.41,94.7
2022-07-03 01:45:00,10.53,94.9
2022-07-03 01:50:00,10.31,95.0
2022-07-03 01:55:00,10.4,95.1
2022-07-03 02:00:00,10.4,95.2
2022-07-03 02:05:00,10.28,95.3
2022-07-03 02:10:00,10.18,95.4
2022-07-03 02:15:00,10.27,95.5
2022-07-03 02:20:00,10.17,95.5
2022-07-03 02:25:00,10.22,95.6
2022-07-03 02:30:00,10.22,95.7
2022-07-03 02:35:00,10.28,95.8
2022-07-03 02:40:00,10.46,95.9
2022-07-03 02:45:00,10.55,96.0
2022-07-03 02:50:00,10.58,96.0
2022-07-03 02:55:00,10.62,96.1
2022-07-03 03:00:00,10.6,96.1
2022-07-03 03:05:00,10.59,96.0
2022-07-03 03:10:00,10.54,96.0
2022-07-03 03:15:00,10.5,96.0
2022-07-03 03:20:00,10.65,96.0
2022-07-03 03:25:00,10.65,96.0
2022-07-03 03:30:00,10.7,96.0
2022-07-03 03:35:00,10.67,96.0
2022-07-03 03:40:00,10.69,96.0
2022-07-03 03:45:00,10.61,95.8
2022-07-03 03:50:00,10.56,95.7
2022-07-03 03:55:00,10.45,95.6
2022-07-03 04:00:00,10.51,95.6
2022-07-03 04:05:00,10.4,95.5
2022-07-03 04:10:00,10.32,95.5
2022-07-03 04:15:00,10.41,95.5
2022-07-03 04:20:00,10.3,95.5
2022-07-03 04:25:00,10.29,95.5
2022-07-03 04:30:00,10.39,95.5
2022-07-03 04:35:00,10.33,95.5
2022-07-03 04:40:00,10.36,95.5
2022-07-03 04:45:00,10.44,95.4
2022-07-03 04:50:00,10.47,95.3
2022-07-03 04:55:00,10.48,95.2
2022-07-03 05:00:00,10.57,95.0
2022-07-03 05:05:00,10.62,94.9
2022-07-03 05:10:00,10.7,94.7
2022-07-03 05:15:00,10.76,94.5
2022-07-03 05:20:00,10.87,94.3
2022-07-03 05:25:00,10.99,94.1
2022-07-03 05:30:00,11.11,93.8
2022-07-03 05:35:00,11.3,93.6
2022-07-03 05:40:00,11.5,93.0
2022-07-03 05:45:00,11.62,92.2
2022-07-03 05:50:00,11.71,91.4
2022-07-03 05:55:00,11.82,90.7
2022-07-03 06:00:00,11.91,89.9
2022-07-03 06:05:00,12.23,89.0
2022-07-03 06:10:00,12.51,88.6
2022-07-03 06:15:00,12.6,87.3
2022-07-03 06:20:00,12.83,86.6
2022-07-03 06:25:00,12.9,86.1
2022-07-03 06:30:00,12.83,85.5
2022-07-03 06:35:00,13.24,86.3
2022-07-03 06:40:00,13.17,85.2
2022-07-03 06:45:00,13.22,84.7
2022-07-03 06:50:00,13.05,84.8
2022-07-03 06:55:00,13.36,86.0
2022-07-03 07:00:00,13.92,86.3
2022-07-03 07:05:00,13.74,83.9
2022-07-03 07:10:00,13.73,83.6
2022-07-03 07:15:00,13.97,83.4
